สถาบัน,ชื่อหลักสูตร,ค่าใช้จ่าย,ลิงก์
จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิตอล,"25,500 บาท/เทอม",https://course.mytcas.com/programs/10010121300501A
จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,"25,500 บาท/เทอม",https://course.mytcas.com/programs/10010121300599A
มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วิศวกรรมคอมพิวเตอร์,0.00,https://course.mytcas.com/programs/10020105300501A
มหาวิทยาลัยเกษตรศาสตร์ กำแพงแสน,วิศวกรรมคอมพิวเตอร์,"156,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10020220300501A
มหาวิทยาลัยเกษตรศาสตร์ ศรีราชา,วิศวกรรมคอมพิวเตอร์,"232,800 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10020328300502A
มหาวิทยาลัยเกษตรศาสตร์ เฉลิมพระเกียรติ จ.สกลนคร,วิศวกรรมคอมพิวเตอร์,0.00,https://course.mytcas.com/programs/10020430300501A
มหาวิทยาลัยขอนแก่น,วิศวกรรมคอมพิวเตอร์,"20,000 บาท/เทอม",https://course.mytcas.com/programs/10030104300501A
มหาวิทยาลัยเชียงใหม่,วิศวกรรมคอมพิวเตอร์,"184,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10040106300501A
มหาวิทยาลัยเชียงใหม่,วิศวกรรมคอมพิวเตอร์(นานาชาติ),"400,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10040106300502E
มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,"18,900 บาท/เทอม",https://course.mytcas.com/programs/10050210300501A
มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมคอมพิวเตอร์(นานาชาติ),"101,200 บาท/เทอม",https://course.mytcas.com/programs/10050222300501E
มหาวิทยาลัยมหิดล,วิศวกรรมคอมพิวเตอร์,"30,000 บาท/เทอม",https://course.mytcas.com/programs/10060112300501A
มหาวิทยาลัยศรีนครินทรวิโรฒ,วิศวกรรมคอมพิวเตอร์,"200,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10090209300501A
มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมคอมพิวเตอร์,"18,000 บาท/เทอม",https://course.mytcas.com/programs/10100101300501A
มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมคอมพิวเตอร์,"28,000 บาท/เทอม",https://course.mytcas.com/programs/10100101300502A
มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,วิศวกรรมคอมพิวเตอร์(นานาชาติ),"48,000 บาท/เทอม",https://course.mytcas.com/programs/10100329300501E
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมคอมพิวเตอร์(นานาชาติ),https://kmutt.me/TUITION-FEES-BS-KMUTT,https://course.mytcas.com/programs/10140107300502E
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมคอมพิวเตอร์,https://kmutt.me/TUITION-FEES-BS-KMUTT,https://course.mytcas.com/programs/10140107300507A
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิชาโทวิศวกรรมคอมพิวเตอร์,https://kmutt.me/TUITION-FEES-BS-KMUTT,https://course.mytcas.com/programs/10140108701904A?major=C
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ กรุงเทพฯ,วิศวกรรมคอมพิวเตอร์,"25,000 บาท/เทอม",https://course.mytcas.com/programs/10150101300501A
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมคอมพิวเตอร์,"25,000 บาท/เทอม",https://course.mytcas.com/programs/10160101300501A
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมคอมพิวเตอร์(นานาชาติ),"90,000 บาท/เทอม",https://course.mytcas.com/programs/10160101300503E
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์,"50,000 บาท/เทอม",https://course.mytcas.com/programs/10160101300504A
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ชุมพร,วิศวกรรมคอมพิวเตอร์,"20,000 บาท ต่อภาคการศึกษา",https://course.mytcas.com/programs/10160220300501A
มหาวิทยาลัยเทคโนโลยีสุรนารี,วิศวกรรมคอมพิวเตอร์,"197,100 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10170107300501A
มหาวิทยาลัยนเรศวร,วิศวกรรมคอมพิวเตอร์,"16,000 บาท/เทอม",https://course.mytcas.com/programs/10200120300501A
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมคอมพิวเตอร์,"32,700 บาท/เทอม",https://course.mytcas.com/programs/10230125300501A
มหาวิทยาลัยแม่ฟ้าหลวง,วิศวกรรมคอมพิวเตอร์,"28,000 บาท/เทอม",https://course.mytcas.com/programs/10240113300501A
มหาวิทยาลัยนราธิวาสราชนครินทร์,วิศวกรรมคอมพิวเตอร์,"112,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10250105300501A
มหาวิทยาลัยนครพนม,วิศวกรรมคอมพิวเตอร์,"72,200 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10260106300502A
